Date,DMART,INFY,HDFC BANK,KOTAK BANK,,,,,,,
,,,,,,,,,,,
2020-04-01,,,,,,,,,,,
2020-04-03,99.72,96.81,98.01,96.31,,,CORR,DMART,INFY,HDFC BANK,KOTAK BANK
2020-04-07,104.76,108.68,109.24,104.76,,,DMART,1,,,
2020-04-08,104.71,98.51,99.17,99.21,,,INFY,0.28,1,,
2020-04-09,104.51,100.93,103.82,106.99,,,HDFC BANK,0.48,0.54,1,
2020-04-13,94.74,101.25,96.78,97.96,,,KOTAK BANK,0.41,0.41,0.67,1
2020-04-15,95.14,100.32,96.29,93.36,,,,,,,
2020-04-16,98.09,97.6,102,96.2,,,,,,,
2020-04-17,103.18,100.81,103.22,104.73,,,,,,,
2020-04-20,102.04,103.61,103.76,99.24,,,,,,,
2020-04-21,99.09,96.86,97.26,95.83,,,,,,,
2020-04-22,102.42,101.4,100.82,101.79,,,,,,,
2020-04-23,100.16,105.37,102.76,107.91,,,,,,,
2020-04-24,100.65,96.94,98.18,99.22,,,,,,,
2020-04-27,100.28,100.9,99.16,104.9,,,,,,,
2020-04-28,99.28,99.52,100.17,101.66,,,,,,,
2020-04-29,101.18,102.46,104.64,100.06,,,,,,,
2020-04-30,102.15,105.38,102.5,102.21,,,,,,,
2020-05-04,95.83,93.7,91.47,93.81,,,,,,,
2020-05-05,96.4,100.07,98.75,96.9,,,,,,,
2020-05-06,98.38,98.79,103.66,100.48,,,,,,,
2020-05-07,101.29,99.83,97.69,96.17,,,,,,,
2020-05-08,102.25,101.42,100.43,101.57,,,,,,,
2020-05-11,102.67,101.19,98.58,97.51,,,,,,,
2020-05-12,99.55,100.73,98.36,97.43,,,,,,,
2020-05-13,102.2,100.89,102.84,102.3,,,,,,,
2020-05-14,98.77,94.56,96.25,98.91,,,,,,,
2020-05-15,100.27,99.11,99.36,100.35,,,,,,,
2020-05-18,98.98,101.7,93.81,94.22,,,,,,,
2020-05-19,101.29,100.8,99.41,101.52,,,,,,,
2020-05-20,104.76,100.19,103.09,102.8,,,,,,,
2020-05-21,100.71,100.27,100.21,98.83,,,,,,,
2020-05-22,97.17,102.93,97.51,100.9,,,,,,,
2020-05-26,95.1,98.22,101.69,99.32,,,,,,,
2020-05-27,95.91,103.57,105.58,105.28,,,,,,,
2020-05-28,104.67,100.28,104.36,100.94,,,,,,,
2020-05-29,98.13,99.07,100.65,99.62,,,,,,,
2020-06-01,101.69,101.17,103.61,102.05,,,,,,,
2020-06-02,103.21,101.21,101.4,106.99,,,,,,,
2020-06-03,98.82,99.04,102.07,103.2,,,,,,,
2020-06-04,102.59,100.91,98.12,95.97,,,,,,,
2020-06-05,103.25,99.42,103.04,100.43,,,,,,,
2020-06-08,98.38,102.33,98.1,99.86,,,,,,,
2020-06-09,97.26,99.61,97.11,97.4,,,,,,,
2020-06-10,99.82,99.73,100.49,102.29,,,,,,,
2020-06-11,100.76,98.26,97.61,97.26,,,,,,,
2020-06-12,99.7,98.34,101.46,98.51,,,,,,,
2020-06-15,98.84,99.29,96.61,97.6,,,,,,,
2020-06-16,101.25,101.95,103.99,102.14,,,,,,,
2020-06-17,97.41,100.38,99.04,97.11,,,,,,,
2020-06-18,100.36,101.44,103.81,104.78,,,,,,,
2020-06-19,100.39,98.84,101.34,99.9,,,,,,,
2020-06-22,99.79,99.72,99.5,103.97,,,,,,,
2020-06-23,100.26,102.33,101.19,102.43,,,,,,,
2020-06-24,99.88,99.12,99.18,96.72,,,,,,,
2020-06-25,97.85,97.91,99.66,102.67,,,,,,,
2020-06-26,99.52,106.49,102.52,96.91,,,,,,,
2020-06-29,99.9,97.72,101.93,101.25,,,,,,,
