Date,AIRTEL,HDFC BANK,RIL,INFY,,,,,,
2020-04-01,,,,,,,,,,
2020-04-03,100.67,98.01,99.77,96.81,,CORR,AIRTEL,HDFC BANK,RIL,INFY
2020-04-07,109.81,109.24,110.63,108.68,,AIRTEL,1,,,
2020-04-08,98.17,99.17,98.8,98.51,,HDFC BANK,0.2,1,,
2020-04-09,105.61,103.82,102.22,100.93,,RIL,0.17,0.53,1,
2020-04-13,104.44,96.78,97.48,99.92,,INFY,0.26,0.55,0.38,1
2020-04-15,99.65,96.29,96.59,100.32,,,,,,
2020-04-16,98.1,102,101.6,97.6,,,,,,
2020-04-17,100.36,103.22,104.6,100.81,,,,,,
2020-04-20,97.58,103.76,101.56,103.61,,,,,,
2020-04-21,102.09,97.26,99.32,96.86,,,,,,
2020-04-22,100.08,100.82,109.34,101.4,,,,,,
2020-04-23,98.87,102.76,100.59,105.37,,,,,,
2020-04-24,99.74,98.18,103.23,96.94,,,,,,
2020-04-27,100.04,99.16,100.91,100.9,,,,,,
2020-04-28,98.18,100.17,99.85,99.52,,,,,,
2020-04-29,102.13,104.64,99.87,102.46,,,,,,
2020-04-30,103.52,102.5,101.86,105.38,,,,,,
2020-05-04,103.37,91.47,97.8,93.7,,,,,,
2020-05-05,99.16,98.75,101.75,100.07,,,,,,
2020-05-06,103.33,103.66,100.04,98.79,,,,,,
2020-05-07,96.54,97.69,103.03,99.83,,,,,,
2020-05-08,100.42,100.43,103.49,101.42,,,,,,
2020-05-11,101.14,98.58,100.95,101.19,,,,,,
2020-05-12,104.21,98.36,93.48,100.73,,,,,,
2020-05-13,99.3,102.84,102.01,100.89,,,,,,
2020-05-14,97.02,96.25,95.75,94.56,,,,,,
2020-05-15,102.61,99.36,101.61,99.11,,,,,,
2020-05-18,97.29,93.81,98.73,101.7,,,,,,
2020-05-19,109.96,99.41,97.69,100.8,,,,,,
2020-05-20,99.14,103.09,101.85,100.19,,,,,,
2020-05-21,100.03,100.21,100.37,100.27,,,,,,
2020-05-22,99.79,97.51,99.41,102.93,,,,,,
2020-05-26,93.95,101.69,99.45,98.22,,,,,,
2020-05-27,100.68,105.58,101.61,103.57,,,,,,
2020-05-28,99.95,104.36,101.75,100.28,,,,,,
2020-05-29,98.14,100.65,99.49,99.07,,,,,,
2020-06-01,101.19,103.61,103.63,101.17,,,,,,
2020-06-02,99.81,101.4,101.02,101.21,,,,,,
2020-06-03,98.86,102.07,100.41,99.04,,,,,,
2020-06-04,103.74,98.12,102.37,100.91,,,,,,
2020-06-05,102.01,103.04,100.04,99.42,,,,,,
2020-06-08,99.97,98.1,99.33,102.33,,,,,,
2020-06-09,96.98,97.11,97.86,99.61,,,,,,
2020-06-10,99.94,100.49,102.22,99.73,,,,,,
2020-06-11,97.16,97.61,97.76,98.26,,,,,,
2020-06-12,101.48,101.46,103.23,98.34,,,,,,
2020-06-15,98.36,96.61,101.62,99.29,,,,,,
2020-06-16,98.89,103.99,100.15,101.95,,,,,,
2020-06-17,103.32,99.04,99.87,100.38,,,,,,
2020-06-18,99.52,103.81,102.47,101.44,,,,,,
2020-06-19,101.86,101.34,105.87,98.84,,,,,,
2020-06-22,101.57,99.5,99.3,99.72,,,,,,
2020-06-23,99.64,101.19,98.42,102.33,,,,,,
2020-06-24,96.23,99.18,100.42,99.12,,,,,,
2020-06-25,100.33,99.66,99.45,97.91,,,,,,
2020-06-26,100.18,102.52,101.41,106.49,,,,,,
2020-06-29,101.23,101.93,98.87,97.72,,,,,,
